"time" "N1" "N2" "N3"
"351" 87.5 33.9023 6.7202 19.4603
"352" 87.75 33.9924 6.7469 19.2623
"353" 88 34.0688 6.7952 19.0596
"354" 88.25 34.1312 6.8654 18.8523
"355" 88.5 34.1792 6.9582 18.6405
"356" 88.75 34.2123 7.0743 18.4242
"357" 89 34.2298 7.2148 18.2033
"358" 89.25 34.2311 7.3808 17.9777
"359" 89.5 34.2152 7.5738 17.7474
"360" 89.75 34.1812 7.7954 17.512
"361" 90 34.1277 8.0477 17.2714
"362" 90.25 34.0534 8.333 17.0253
"363" 90.5 33.9567 8.654 16.7732
"364" 90.75 33.8357 9.0137 16.5146
"365" 91 33.6883 9.4156 16.2491
"366" 91.25 33.512 9.864 15.9759
"367" 91.5 33.304 10.3635 15.6944
"368" 91.75 33.0618 10.914 15.404
"369" 92 32.7947 11.4874 15.1086
"370" 92.25 32.5113 12.0808 14.8118
"371" 92.5 32.2129 12.6947 14.5143
"372" 92.75 31.8996 13.3289 14.2162
"373" 93 31.5717 13.9832 13.9177
"374" 93.25 31.2294 14.657 13.619
"375" 93.5 30.8729 15.3499 13.3202
"376" 93.75 30.5025 16.0613 13.0217
"377" 94 30.1187 16.7904 12.7235
"378" 94.25 29.7219 17.5364 12.4261
"379" 94.5 29.3127 18.2985 12.1295
"380" 94.75 28.8916 19.0756 11.834
"381" 95 28.4592 19.8667 11.5399
"382" 95.25 28.0162 20.6707 11.2475
"383" 95.5 27.5633 21.4864 10.957
"384" 95.75 27.1014 22.3126 10.6687
"385" 96 26.6311 23.1481 10.3828
"386" 96.25 26.1534 23.9914 10.0996
"387" 96.5 25.6691 24.8414 9.8193
"388" 96.75 25.1789 25.6966 9.5423
"389" 97 24.6839 26.5558 9.2687
"390" 97.25 24.1848 27.4175 8.9987
"391" 97.5 23.6825 28.2805 8.7326
"392" 97.75 23.178 29.1436 8.4706
"393" 98 22.6719 30.0053 8.2128
"394" 98.25 22.1653 30.8631 7.9595
"395" 98.5 21.6929 31.5613 7.7207
"396" 98.75 21.3184 32.0669 7.5143
"397" 99 21.0369 32.4437 7.3384
"398" 99.25 20.8278 32.7314 7.1864
"399" 99.5 20.6705 32.9568 7.0524
"400" 99.75 20.5136 33.1448 6.9355
"401" 100 20.3475 33.314 6.839
"402" 100.25 20.1749 33.469 6.7635
"403" 100.5 19.9965 33.6106 6.709
"404" 100.75 19.8127 33.739 6.6753
"405" 101 19.6238 33.8542 6.6626
"406" 101.25 19.43 33.956 6.6707
"407" 101.5 19.2314 34.0445 6.7
"408" 101.75 19.0282 34.1193 6.7506
"409" 102 18.8205 34.1802 6.8231
"410" 102.25 18.6083 34.2266 6.9181
"411" 102.5 18.3916 34.2582 7.0363
"412" 102.75 18.1704 34.2743 7.1788
"413" 103 17.9447 34.2742 7.3468
"414" 103.25 17.7141 34.2569 7.5417
"415" 103.5 17.4786 34.2215 7.7653
"416" 103.75 17.238 34.1666 8.0194
"417" 104 16.9917 34.091 8.3066
"418" 104.25 16.7396 33.9929 8.6294
"419" 104.5 16.481 33.8705 8.991
"420" 104.75 16.2155 33.7217 9.3949
"421" 105 15.9424 33.5439 9.8452
"422" 105.25 15.661 33.3343 10.3467
"423" 105.5 15.3707 33.0908 10.8977
"424" 105.75 15.076 32.8236 11.4702
"425" 106 14.78 32.5403 12.0629
"426" 106.25 14.4832 32.242 12.6761
"427" 106.5 14.1859 31.9288 13.3097
"428" 106.75 13.8882 31.601 13.9633
"429" 107 13.5903 31.2588 14.6365
"430" 107.25 13.2923 30.9024 15.3287
"431" 107.5 12.9946 30.5321 16.0395
"432" 107.75 12.6972 30.1484 16.7679
"433" 108 12.4005 29.7516 17.5134
"434" 108.25 12.1046 29.3424 18.2748
"435" 108.5 11.8099 28.9213 19.0514
"436" 108.75 11.5166 28.4889 19.842
"437" 109 11.2249 28.0459 20.6455
"438" 109.25 10.9351 27.5931 21.4608
"439" 109.5 10.6475 27.1311 22.2867
"440" 109.75 10.3624 26.6607 23.1217
"441" 110 10.0799 26.1829 23.9648
"442" 110.25 9.8003 25.6984 24.8145
"443" 110.5 9.5239 25.2081 25.6694
"444" 110.75 9.2509 24.7129 26.5284
"445" 111 8.9816 24.2136 27.39
"446" 111.25 8.7161 23.7112 28.2529
"447" 111.5 8.4547 23.2063 29.1159
"448" 111.75 8.1975 22.7 29.9776
"449" 112 7.9448 22.1931 30.8366
"450" 112.25 7.7051 21.7157 31.5496
"451" 112.5 7.4974 21.3348 32.0642
"452" 112.75 7.3205 21.0482 32.4471
"453" 113 7.1678 20.8353 32.7388
"454" 113.25 7.0334 20.676 32.9668
"455" 113.5 6.9158 20.5197 33.1559
"456" 113.75 6.8185 20.3538 33.3258
"457" 114 6.7422 20.1814 33.4813
"458" 114.25 6.6868 20.0032 33.6235
"459" 114.5 6.6522 19.8196 33.7524
"460" 114.75 6.6384 19.6309 33.8682
"461" 115 6.6455 19.4373 33.9708
"462" 115.25 6.6736 19.239 34.0599
"463" 115.5 6.723 19.0361 34.1355
"464" 115.75 6.7941 18.8286 34.1972
"465" 116 6.8876 18.6167 34.2445
"466" 116.25 7.0042 18.4004 34.2771
"467" 116.5 7.1449 18.1796 34.2943
"468" 116.75 7.3109 17.9543 34.2953
"469" 117 7.5037 17.7242 34.2794
"470" 117.25 7.7249 17.4892 34.2453
"471" 117.5 7.9764 17.2491 34.1921
"472" 117.75 8.2606 17.0034 34.1182
"473" 118 8.5802 16.7519 34.022
"474" 118.25 8.9382 16.4941 33.9017
"475" 118.5 9.3382 16.2294 33.7552
"476" 118.75 9.7841 15.9572 33.5801
"477" 119 10.2807 15.6767 33.3735
"478" 119.25 10.8279 15.3874 33.1329
"479" 119.5 11.3979 15.0933 32.8676
"480" 119.75 11.988 14.7978 32.5861
"481" 120 12.5986 14.5014 32.2894
"482" 120.25 13.2296 14.2045 31.978
"483" 120.5 13.8807 13.9072 31.6518
"484" 120.75 14.5514 13.6097 31.3112
"485" 121 15.2413 13.3121 30.9564
"486" 121.25 15.9497 13.0147 30.5877
"487" 121.5 16.676 12.7176 30.2054
"488" 121.75 17.4193 12.4212 29.8102
"489" 122 18.1788 12.1256 29.4023
