"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12" "R1" "R2" "R3" "R4" "R5"
"100" 24.75 0.7358 2.2351 3.3012 7.3818 7.6663 3.0025 22.7155 1.8017 8.9291 4.89 2.1619 6.405 0.2298 0.0681 3.3603 0.4048 0.2685
"101" 25 0.7292 2.1864 3.2425 7.2976 7.5969 3.037 23.0527 1.8345 8.7166 4.799 2.114 6.3165 0.2326 0.0677 3.3346 0.4031 0.2345
"102" 25.25 0.723 2.1396 3.1864 7.2184 7.5326 3.0741 23.3494 1.8694 8.5131 4.712 2.0682 6.2327 0.2366 0.072 3.3145 0.4025 0.2075
"103" 25.5 0.7198 2.1013 3.1432 7.1704 7.5012 3.1272 23.5414 1.9062 8.342 4.6433 2.0304 6.175 0.2369 0.0797 3.2986 0.4013 0.1928
"104" 25.75 0.7196 2.0709 3.1121 7.1524 7.5017 3.1801 23.6635 1.943 8.2014 4.5917 2 6.1423 0.2344 0.0864 3.2832 0.3989 0.1835
"105" 26 0.7216 2.0466 3.0906 7.1584 7.5278 3.2265 23.7374 1.979 8.0846 4.5537 1.9756 6.1294 0.2303 0.0917 3.2679 0.3957 0.1771
"106" 26.25 0.7254 2.027 3.0763 7.1822 7.5731 3.2684 23.7768 2.0135 7.9854 4.5255 1.9556 6.1312 0.225 0.0957 3.2525 0.3918 0.1725
"107" 26.5 0.7304 2.0106 3.067 7.2193 7.6327 3.307 23.7913 2.0458 7.899 4.5045 1.9386 6.1438 0.2188 0.0986 3.237 0.3874 0.1693
"108" 26.75 0.7364 1.9966 3.0614 7.2661 7.7032 3.3432 23.788 2.0754 7.8219 4.4886 1.924 6.1643 0.2121 0.1008 3.2215 0.3827 0.1671
"109" 27 0.7431 1.9843 3.0585 7.3203 7.7817 3.3779 23.7721 2.1019 7.7515 4.4763 1.911 6.1905 0.205 0.1023 3.206 0.3779 0.1655
"110" 27.25 0.7503 1.9733 3.0574 7.3797 7.8664 3.4115 23.7471 2.1249 7.6858 4.4666 1.8991 6.2208 0.1977 0.1034 3.1905 0.373 0.1643
"111" 27.5 0.7579 1.963 3.0576 7.4431 7.9557 3.4444 23.7159 2.1442 7.6236 4.4587 1.888 6.254 0.1904 0.1042 3.1751 0.368 0.1636
"112" 27.75 0.7657 1.9534 3.0587 7.5093 8.0486 3.4769 23.6804 2.1595 7.5637 4.4519 1.8775 6.2893 0.1831 0.1047 3.1599 0.3631 0.163
"113" 28 0.7726 1.9441 3.0604 7.5778 8.1442 3.5093 23.6423 2.1708 7.5056 4.446 1.8674 6.326 0.1759 0.105 3.1449 0.3584 0.1627
"114" 28.25 0.7779 1.9351 3.0624 7.6478 8.2421 3.5418 23.6027 2.1778 7.4487 4.4406 1.8575 6.3638 0.1688 0.1052 3.1302 0.3538 0.1626
"115" 28.5 0.7818 1.9263 3.0647 7.7192 8.3419 3.5727 23.5625 2.1807 7.3928 4.4355 1.8479 6.4024 0.1622 0.1054 3.116 0.3494 0.1625
"116" 28.75 0.7843 1.9178 3.0675 7.7927 8.4445 3.5976 23.5221 2.1798 7.3384 4.4311 1.8385 6.4423 0.1568 0.1059 3.1028 0.3456 0.1625
"117" 29 0.7857 1.9098 3.0709 7.8687 8.5503 3.6171 23.481 2.1759 7.2858 4.4275 1.8296 6.4839 0.1524 0.1063 3.0903 0.3422 0.1623
