"time" "Tot"
"723" 180.5 119.4569
"724" 180.75 119.4483
"725" 181 119.441
"726" 181.25 119.4349
"727" 181.5 119.4301
"728" 181.75 119.4263
"729" 182 119.4239
"730" 182.25 119.4227
"731" 182.5 119.4227
"732" 182.75 119.4241
"733" 183 119.4269
"734" 183.25 119.4307
"735" 183.5 119.436
"736" 183.75 119.4424
"737" 184 119.4502
"738" 184.25 119.4595
"739" 184.5 119.47
"740" 184.75 119.4818
"741" 185 119.4952
"742" 185.25 119.5097
"743" 185.5 119.5257
"744" 185.75 119.5429
"745" 186 119.5616
"746" 186.25 119.5816
"747" 186.5 119.5898
"748" 186.75 119.5907
"749" 187 119.5878
"750" 187.25 119.5772
"751" 187.5 119.5589
"752" 187.75 119.532
"753" 188 119.5063
"754" 188.25 119.4828
"755" 188.5 119.4617
"756" 188.75 119.4428
"757" 189 119.4266
"758" 189.25 119.4129
"759" 189.5 119.4022
"760" 189.75 119.3941
"761" 190 119.3893
"762" 190.25 119.3875
"763" 190.5 119.3889
"764" 190.75 119.3939
"765" 191 119.4026
"766" 191.25 119.415
"767" 191.5 119.4244
"768" 191.75 119.4269
"769" 192 119.4266
"770" 192.25 119.4248
"771" 192.5 119.4233
"772" 192.75 119.4218
"773" 193 119.4209
"774" 193.25 119.4184
"775" 193.5 119.4118
"776" 193.75 119.4007
"777" 194 119.3767
"778" 194.25 119.3519
"779" 194.5 119.331
"780" 194.75 119.314
"781" 195 119.3011
"782" 195.25 119.2925
"783" 195.5 119.2879
"784" 195.75 119.287
"785" 196 119.2902
"786" 196.25 119.2971
"787" 196.5 119.3076
"788" 196.75 119.3218
"789" 197 119.3391
"790" 197.25 119.3598
"791" 197.5 119.3835
"792" 197.75 119.4102
"793" 198 119.4394
"794" 198.25 119.4713
"795" 198.5 119.5053
"796" 198.75 119.5418
"797" 199 119.5762
"798" 199.25 119.4982
"799" 199.5 119.3889
"800" 199.75 119.2949
"801" 200 119.2205
"802" 200.25 119.1648
"803" 200.5 119.1263
"804" 200.75 119.1042
"805" 201 119.0973
"806" 201.25 119.1043
"807" 201.5 119.1247
"808" 201.75 119.1568
"809" 202 119.2005
"810" 202.25 119.2545
"811" 202.5 119.3155
"812" 202.75 119.3731
"813" 203 119.4331
"814" 203.25 119.4964
"815" 203.5 119.5627
"816" 203.75 119.6321
"817" 204 119.7043
"818" 204.25 119.7789
"819" 204.5 119.8435
"820" 204.75 119.8765
"821" 205 119.8719
"822" 205.25 119.864
"823" 205.5 119.8567
"824" 205.75 119.8502
"825" 206 119.8443
"826" 206.25 119.8391
"827" 206.5 119.8347
"828" 206.75 119.831
"829" 207 119.8283
"830" 207.25 119.8261
"831" 207.5 119.8247
"832" 207.75 119.8244
"833" 208 119.8248
"834" 208.25 119.8263
"835" 208.5 119.8288
"836" 208.75 119.8322
"837" 209 119.8366
"838" 209.25 119.8424
"839" 209.5 119.8493
"840" 209.75 119.8532
"841" 210 119.8559
"842" 210.25 119.8589
"843" 210.5 119.8621
"844" 210.75 119.8655
"845" 211 119.8692
"846" 211.25 119.8689
"847" 211.5 119.8662
"848" 211.75 119.8572
"849" 212 119.8328
"850" 212.25 119.8087
"851" 212.5 119.7876
"852" 212.75 119.7698
"853" 213 119.7552
"854" 213.25 119.7438
"855" 213.5 119.7358
"856" 213.75 119.731
"857" 214 119.7294
"858" 214.25 119.7309
"859" 214.5 119.7355
"860" 214.75 119.7431
"861" 215 119.7538
"862" 215.25 119.7672
"863" 215.5 119.7834
"864" 215.75 119.8021
"865" 216 119.8234
"866" 216.25 119.847
"867" 216.5 119.8728
"868" 216.75 119.9008
"869" 217 119.914
"870" 217.25 119.823
"871" 217.5 119.7253
"872" 217.75 119.6477
"873" 218 119.5923
"874" 218.25 119.5573
"875" 218.5 119.5411
"876" 218.75 119.5422
"877" 219 119.559
"878" 219.25 119.5899
"879" 219.5 119.6338
"880" 219.75 119.6893
"881" 220 119.7553
"882" 220.25 119.8307
"883" 220.5 119.9144
"884" 220.75 120.0055
"885" 221 120.0954
"886" 221.25 120.1848
"887" 221.5 120.276
"888" 221.75 120.307
"889" 222 120.2123
"890" 222.25 120.1305
"891" 222.5 120.0589
"892" 222.75 119.9988
"893" 223 119.9499
"894" 223.25 119.9065
"895" 223.5 119.8631
"896" 223.75 119.823
"897" 224 119.7861
"898" 224.25 119.7524
"899" 224.5 119.722
"900" 224.75 119.6945
"901" 225 119.6704
"902" 225.25 119.6493
"903" 225.5 119.6297
"904" 225.75 119.6105
"905" 226 119.5923
"906" 226.25 119.5755
"907" 226.5 119.5597
"908" 226.75 119.5454
"909" 227 119.5321
"910" 227.25 119.52
"911" 227.5 119.5092
"912" 227.75 119.4994
"913" 228 119.4911
"914" 228.25 119.4839
"915" 228.5 119.4777
"916" 228.75 119.473
"917" 229 119.4693
"918" 229.25 119.467
"919" 229.5 119.466
"920" 229.75 119.4662
"921" 230 119.4675
"922" 230.25 119.4703
"923" 230.5 119.474
"924" 230.75 119.4793
"925" 231 119.4855
"926" 231.25 119.4931
"927" 231.5 119.502
"928" 231.75 119.5121
"929" 232 119.5234
"930" 232.25 119.536
"931" 232.5 119.5474
"932" 232.75 119.5552
"933" 233 119.5557
"934" 233.25 119.5543
"935" 233.5 119.5573
"936" 233.75 119.5656
"937" 234 119.5792
"938" 234.25 119.5985
"939" 234.5 119.6234
"940" 234.75 119.6528
"941" 235 119.6682
"942" 235.25 119.6832
"943" 235.5 119.6854
"944" 235.75 119.679
"945" 236 119.6612
"946" 236.25 119.6453
"947" 236.5 119.6322
"948" 236.75 119.6222
"949" 237 119.612
"950" 237.25 119.5995
"951" 237.5 119.588
"952" 237.75 119.5776
"953" 238 119.5682
"954" 238.25 119.5601
"955" 238.5 119.5531
"956" 238.75 119.5471
"957" 239 119.5424
"958" 239.25 119.5387
"959" 239.5 119.5364
"960" 239.75 119.5349
"961" 240 119.5348
"962" 240.25 119.5356
"963" 240.5 119.5377
"964" 240.75 119.5408
"965" 241 119.5452
"966" 241.25 119.5506
"967" 241.5 119.5573
"968" 241.75 119.565
"969" 242 119.5739
"970" 242.25 119.5839
"971" 242.5 119.581
"972" 242.75 119.5303
"973" 243 119.4557
"974" 243.25 119.3675
"975" 243.5 119.2952
"976" 243.75 119.2391
"977" 244 119.1978
"978" 244.25 119.1698
"979" 244.5 119.1534
"980" 244.75 119.143
"981" 245 119.14
"982" 245.25 119.1441
"983" 245.5 119.1546
"984" 245.75 119.1709
"985" 246 119.1925
"986" 246.25 119.2185
"987" 246.5 119.2488
"988" 246.75 119.2827
"989" 247 119.3199
"990" 247.25 119.3599
"991" 247.5 119.4023
"992" 247.75 119.447
"993" 248 119.4936
"994" 248.25 119.5417
"995" 248.5 119.5912
"996" 248.75 119.6417
"997" 249 119.6932
"998" 249.25 119.7455
"999" 249.5 119.7984
"1000" 249.75 119.8515
"1001" 250 119.9052
"1002" 250.25 119.9588
"1003" 250.5 120.0129
"1004" 250.75 120.0665
"1005" 251 120.1202
"1006" 251.25 120.1738
"1007" 251.5 120.2271
"1008" 251.75 120.2801
"1009" 252 120.3328
"1010" 252.25 120.385
"1011" 252.5 120.437
"1012" 252.75 120.4863
"1013" 253 120.5259
"1014" 253.25 120.5577
"1015" 253.5 120.57
"1016" 253.75 120.5762
"1017" 254 120.5725
"1018" 254.25 120.5691
"1019" 254.5 120.566
"1020" 254.75 120.5635
"1021" 255 120.5484
"1022" 255.25 120.4608
