"time" "N1" "N2" "N3"
"310" 77.25 9.3627 16.3831 33.6538
"311" 77.5 9.7956 16.1117 33.4876
"312" 77.75 10.2783 15.8321 33.2906
"313" 78 10.8157 15.5435 33.0595
"314" 78.25 11.3866 15.2476 32.7979
"315" 78.5 11.9767 14.9494 32.518
"316" 78.75 12.5872 14.6504 32.2229
"317" 79 13.2182 14.3508 31.9129
"318" 79.25 13.8692 14.0507 31.5882
"319" 79.5 14.5399 13.7503 31.249
"320" 79.75 15.2298 13.4499 30.8956
"321" 80 15.9382 13.1497 30.5283
"322" 80.25 16.6645 12.8498 30.1475
"323" 80.5 17.4079 12.5505 29.7536
"324" 80.75 18.1674 12.252 29.3471
"325" 81 18.9422 11.9547 28.9287
"326" 81.25 19.7312 11.6587 28.4989
"327" 81.5 20.5333 11.3643 28.0583
"328" 81.75 21.3473 11.0717 27.6078
"329" 82 22.1721 10.7813 27.1481
"330" 82.25 23.0062 10.4933 26.6799
"331" 82.5 23.8485 10.208 26.204
"332" 82.75 24.6977 9.9256 25.7214
"333" 83 25.5523 9.6464 25.2329
"334" 83.25 26.4111 9.3706 24.7393
"335" 83.5 27.2727 9.0984 24.2415
"336" 83.75 28.1358 8.83 23.7403
"337" 84 28.999 8.5658 23.2368
"338" 84.25 29.8613 8.3057 22.7316
"339" 84.5 30.7212 8.0501 22.2256
"340" 84.75 31.4457 7.8068 21.746
"341" 85 31.969 7.5954 21.3611
"342" 85.25 32.3585 7.4152 21.0707
"343" 85.5 32.6555 7.2597 20.8548
"344" 85.75 32.8875 7.1228 20.6938
"345" 86 33.0791 7.0028 20.5389
"346" 86.25 33.2506 6.903 20.374
"347" 86.5 33.4077 6.8243 20.2024
"348" 86.75 33.5512 6.7667 20.0249
"349" 87 33.6815 6.7302 19.842
"350" 87.25 33.7985 6.7146 19.6538
"351" 87.5 33.9022 6.7201 19.4606
"352" 87.75 33.9923 6.7468 19.2626
"353" 88 34.0688 6.7951 19.0599
"354" 88.25 34.1312 6.8652 18.8526
"355" 88.5 34.1792 6.958 18.6408
"356" 88.75 34.2123 7.0741 18.4244
"357" 89 34.2299 7.2145 18.2035
"358" 89.25 34.2312 7.3805 17.978
"359" 89.5 34.2153 7.5734 17.7477
"360" 89.75 34.1813 7.7951 17.5123
"361" 90 34.1278 8.0473 17.2717
"362" 90.25 34.0536 8.3326 17.0256
"363" 90.5 33.9569 8.6534 16.7735
"364" 90.75 33.836 9.0131 16.515
"365" 91 33.6886 9.415 16.2494
"366" 91.25 33.5123 9.8633 15.9763
"367" 91.5 33.3044 10.3627 15.6948
"368" 91.75 33.0622 10.9132 15.4044
"369" 92 32.7952 11.4865 15.109
"370" 92.25 32.5118 12.0798 14.8122
"371" 92.5 32.2134 12.6937 14.5147
"372" 92.75 31.9001 13.3279 14.2166
"373" 93 31.5722 13.9822 13.9181
"374" 93.25 31.2299 14.656 13.6194
"375" 93.5 30.8734 15.3489 13.3206
"376" 93.75 30.5031 16.0602 13.0221
"377" 94 30.1193 16.7893 12.724
"378" 94.25 29.7226 17.5353 12.4265
"379" 94.5 29.3133 18.2973 12.1299
"380" 94.75 28.8922 19.0744 11.8344
"381" 95 28.4598 19.8655 11.5403
"382" 95.25 28.0169 20.6695 11.2479
"383" 95.5 27.564 21.4852 10.9574
"384" 95.75 27.1021 22.3114 10.6691
"385" 96 26.6319 23.1468 10.3832
"386" 96.25 26.1542 23.9902 10.1
"387" 96.5 25.6698 24.8401 9.8197
"388" 96.75 25.1797 25.6953 9.5427
"389" 97 24.6846 26.5545 9.2691
"390" 97.25 24.1856 27.4162 8.9991
"391" 97.5 23.6833 28.2792 8.733
"392" 97.75 23.1787 29.1422 8.471
"393" 98 22.6727 30.004 8.2132
"394" 98.25 22.1661 30.8618 7.9599
"395" 98.5 21.6936 31.5604 7.721
"396" 98.75 21.3189 32.0662 7.5146
"397" 99 21.0373 32.4432 7.3387
"398" 99.25 20.8281 32.7311 7.1866
"399" 99.5 20.6707 32.9565 7.0526
