"time" "N1" "N2" "N3" "N4" "N5"
"206" 51.25 11.8982 11.7889 36.0086 15.6286 44.4864
"207" 51.5 11.8973 11.6653 35.841 15.6456 44.7634
"208" 51.75 11.9177 11.5407 35.6666 15.659 45.0314
"209" 52 11.96 11.4152 35.4853 15.6688 45.2899
"210" 52.25 12.0246 11.2887 35.2971 15.6749 45.5387
"211" 52.5 12.1121 11.1613 35.1021 15.6772 45.7773
"212" 52.75 12.2232 11.033 34.9 15.6757 46.0051
"213" 53 12.3586 10.9038 34.6909 15.6702 46.2218
"214" 53.25 12.5194 10.7736 34.4745 15.6606 46.4266
"215" 53.5 12.7017 10.6426 34.2515 15.6471 46.6201
"216" 53.75 12.8875 10.5124 34.0268 15.632 46.8095
"217" 54 13.0752 10.3833 33.8018 15.6162 46.9971
"218" 54.25 13.2648 10.2553 33.5767 15.5995 47.1828
"219" 54.5 13.4533 10.1285 33.3518 15.5822 47.3671
"220" 54.75 13.6086 10.0052 33.1277 15.5671 47.5635
"221" 55 13.7381 9.8971 32.8693 15.54 47.7632
"222" 55.25 13.8642 9.8142 32.6037 15.5082 47.9485
"223" 55.5 13.9881 9.7549 32.3339 15.4732 48.1236
"224" 55.75 14.1099 9.7173 32.0604 15.4351 48.2892
"225" 56 14.2299 9.6999 31.7837 15.3943 48.4457
"226" 56.25 14.3481 9.7016 31.5043 15.351 48.5936
"227" 56.5 14.4645 9.7212 31.2224 15.3051 48.7332
"228" 56.75 14.5793 9.7578 30.9385 15.257 48.8649
"229" 57 14.6924 9.8106 30.6528 15.2066 48.9889
"230" 57.25 14.804 9.8791 30.3655 15.1542 49.1055
"231" 57.5 14.914 9.9626 30.0768 15.0998 49.2147
"232" 57.75 15.0224 10.0606 29.7871 15.0434 49.3167
"233" 58 15.1293 10.1729 29.4963 14.9852 49.4118
"234" 58.25 15.2346 10.2989 29.2047 14.9252 49.4998
"235" 58.5 15.3384 10.4386 28.9125 14.8634 49.581
"236" 58.75 15.4407 10.5915 28.6197 14.7998 49.6554
"237" 59 15.5417 10.7579 28.327 14.7308 49.7242
"238" 59.25 15.6434 10.9385 28.0373 14.6551 49.7806
"239" 59.5 15.7479 11.1336 27.7613 14.5728 49.8115
"240" 59.75 15.846 11.3343 27.5121 14.4846 49.819
"241" 60 15.9378 11.5331 27.299 14.3915 49.8061
"242" 60.25 16.0231 11.7298 27.1247 14.2936 49.7728
"243" 60.5 16.1016 11.924 26.9911 14.1907 49.7185
"244" 60.75 16.173 12.1152 26.8999 14.0828 49.6426
"245" 61 16.2369 12.303 26.853 13.9699 49.5443
"246" 61.25 16.293 12.4868 26.8522 13.8519 49.4232
"247" 61.5 16.3408 12.6662 26.8992 13.7287 49.2786
"248" 61.75 16.3801 12.8407 26.9962 13.6003 49.1097
"249" 62 16.4103 13.0096 27.1451 13.4667 48.916
"250" 62.25 16.4312 13.1724 27.3481 13.3276 48.6968
"251" 62.5 16.4422 13.3284 27.6075 13.1832 48.4514
"252" 62.75 16.443 13.4769 27.9257 13.0332 48.1789
"253" 63 16.4329 13.6172 28.3053 12.8777 47.8786
"254" 63.25 16.4138 13.7504 28.7126 12.7178 47.5554
"255" 63.5 16.3911 13.8816 29.1186 12.5577 47.2249
"256" 63.75 16.3668 14.0125 29.5268 12.3984 46.8922
"257" 64 16.3411 14.1432 29.9376 12.2402 46.5579
"258" 64.25 16.314 14.2737 30.3511 12.0831 46.2222
"259" 64.5 16.2855 14.4041 30.7672 11.9272 45.8852
"260" 64.75 16.2556 14.5342 31.186 11.7723 45.547
"261" 65 16.2244 14.6641 31.6072 11.6187 45.2075
"262" 65.25 16.1919 14.7938 32.031 11.4661 44.867
"263" 65.5 16.158 14.9231 32.4572 11.3147 44.5254
"264" 65.75 16.1228 15.0521 32.8857 11.1645 44.1828
"265" 66 16.0862 15.1808 33.3166 11.0154 43.8393
"266" 66.25 16.0484 15.309 33.7497 10.8675 43.495
"267" 66.5 16.0092 15.4369 34.185 10.7208 43.1498
"268" 66.75 15.9687 15.5643 34.6225 10.5753 42.8039
"269" 67 15.927 15.6913 35.062 10.431 42.4573
"270" 67.25 15.884 15.8178 35.5036 10.2879 42.1101
"271" 67.5 15.8397 15.9437 35.9471 10.146 41.7623
"272" 67.75 15.796 16.0424 36.3752 10.0063 41.4187
"273" 68 15.7383 16.0862 36.7019 9.8795 41.1276
"274" 68.25 15.6557 16.1026 36.9646 9.7736 40.9255
"275" 68.5 15.5553 16.0987 37.1792 9.6877 40.8103
"276" 68.75 15.4399 16.0773 37.3518 9.6197 40.7737
"277" 69 15.3117 16.0405 37.487 9.5676 40.8077
"278" 69.25 15.1725 15.99 37.5884 9.5296 40.9053
"279" 69.5 15.0238 15.9275 37.6593 9.504 41.0601
"280" 69.75 14.8671 15.8543 37.7025 9.4895 41.2666
"281" 70 14.7036 15.7716 37.7207 9.4847 41.5196
"282" 70.25 14.5343 15.6805 37.7162 9.4886 41.8147
"283" 70.5 14.3601 15.5819 37.6911 9.5 42.1476
"284" 70.75 14.1819 15.4768 37.6472 9.518 42.5147
"285" 71 14.0004 15.3658 37.5864 9.5418 42.9123
"286" 71.25 13.8164 15.2498 37.5103 9.5706 43.3373
"287" 71.5 13.6304 15.1294 37.4203 9.6036 43.7859
"288" 71.75 13.4441 15.0065 37.3216 9.6408 44.238
"289" 72 13.259 14.8832 37.219 9.6824 44.6892
"290" 72.25 13.0755 14.7595 37.1133 9.7282 45.1403
"291" 72.5 12.8936 14.6357 37.0046 9.7778 45.5913
"292" 72.75 12.7132 14.5117 36.8929 9.8311 46.0422
"293" 73 12.5344 14.3876 36.7785 9.8878 46.4931
"294" 73.25 12.3631 14.2709 36.6326 9.9188 46.8974
"295" 73.5 12.2354 14.2068 36.4202 9.923 47.203
"296" 73.75 12.1585 14.2052 36.1734 9.9167 47.4574
"297" 74 12.1304 14.2647 35.8948 9.9004 47.6623
