"time" "N1" "N2" "N3" "N4" "N5" "N6"
"337" 84 47.8068 37.739 28.2708 0 0 0
"338" 84.25 47.6881 37.7147 28.3951 0 0 0
"339" 84.5 47.5804 37.6849 28.5156 0 0 0
"340" 84.75 47.4837 37.6495 28.6322 0 0 0
"341" 85 47.3992 37.6081 28.7443 0 0 0
"342" 85.25 47.3274 37.5605 28.8519 0 0 0
"343" 85.5 47.2689 37.5064 28.9545 0 0 0
"344" 85.75 47.2245 37.4455 29.0519 0 0 0
"345" 86 47.1949 37.3775 29.1437 0 0 0
"346" 86.25 47.1808 37.3021 29.2295 0 0 0
"347" 86.5 47.1832 37.219 29.3091 0 0 0
"348" 86.75 47.2029 37.1279 29.3821 0 0 0
"349" 87 47.2406 37.0284 29.448 0 0 0
"350" 87.25 47.2975 36.9201 29.5064 0 0 0
"351" 87.5 47.3744 36.8026 29.557 0 0 0
"352" 87.75 47.4724 36.6756 29.5992 0 0 0
"353" 88 47.5925 36.5387 29.6325 0 0 0
"354" 88.25 47.736 36.3914 29.6566 0 0 0
"355" 88.5 47.9039 36.2332 29.6707 0 0 0
"356" 88.75 48.0976 36.0638 29.6745 0 0 0
"357" 89 48.3183 35.8825 29.6672 0 0 0
"358" 89.25 48.5676 35.6889 29.6484 0 0 0
"359" 89.5 48.8468 35.4824 29.6172 0 0 0
"360" 89.75 49.1576 35.2624 29.5731 0 0 0
"361" 90 49.5017 35.0283 29.5152 0 0 0
"362" 90.25 49.8809 34.7795 29.4428 0 0 0
"363" 90.5 50.297 34.5152 29.3552 0 0 0
"364" 90.75 50.7521 34.2347 29.2513 0 0 0
"365" 91 51.2484 33.9373 29.1302 0 0 0
"366" 91.25 51.7881 33.6221 28.9911 0 0 0
"367" 91.5 52.3738 33.2881 28.8327 0 0 0
"368" 91.75 53.0081 32.9346 28.6541 0 0 0
"369" 92 53.6865 32.5606 28.4541 0 0 0
"370" 92.25 54.2469 32.19 28.2546 0 0 0
"371" 92.5 54.6902 31.8578 28.0886 0 0 0
"372" 92.75 55.0549 31.566 27.9583 0 0 0
"373" 93 55.3587 31.3092 27.8591 0 0 0
"374" 93.25 55.6133 31.0813 27.7856 0 0 0
"375" 93.5 55.8277 30.8774 27.7336 0 0 0
"376" 93.75 56.0118 30.6947 27.6867 0 0 0
"377" 94 56.178 30.5353 27.6315 0 0 0
"378" 94.25 56.3306 30.3989 27.5697 0 0 0
"379" 94.5 56.4709 30.2844 27.5022 0 0 0
"380" 94.75 56.5995 30.1905 27.4294 0 0 0
"381" 95 56.7172 30.1162 27.3516 0 0 0
"382" 95.25 56.8245 30.0603 27.2692 0 0 0
"383" 95.5 56.9219 30.0218 27.1825 0 0 0
"384" 95.75 57.0099 29.9999 27.0918 0 0 0
"385" 96 57.089 29.9937 26.9973 0 0 0
"386" 96.25 57.1596 30.0024 26.8993 0 0 0
"387" 96.5 57.2221 30.0253 26.798 0 0 0
"388" 96.75 57.2768 30.0616 26.6936 0 0 0
"389" 97 57.3241 30.1109 26.5863 0 0 0
"390" 97.25 57.3643 30.1724 26.4764 0 0 0
"391" 97.5 57.3977 30.2456 26.3639 0 0 0
"392" 97.75 57.4246 30.33 26.2491 0 0 0
"393" 98 57.4452 30.425 26.1321 0 0 0
"394" 98.25 57.4598 30.5302 26.013 0 0 0
"395" 98.5 57.4686 30.6451 25.892 0 0 0
"396" 98.75 57.4719 30.7694 25.7693 0 0 0
"397" 99 57.4699 30.9025 25.6448 0 0 0
"398" 99.25 57.4627 31.0441 25.5188 0 0 0
"399" 99.5 57.4506 31.1939 25.3913 0 0 0
"400" 99.75 57.4338 31.3513 25.2626 0 0 0
"401" 100 57.4125 31.5162 25.1326 0 0 0
"402" 100.25 57.3868 31.6881 25.0014 0 0 0
"403" 100.5 57.3569 31.8667 24.8692 0 0 0
"404" 100.75 57.3229 32.0517 24.7361 0 0 0
"405" 101 57.2852 32.2428 24.6021 0 0 0
"406" 101.25 57.2437 32.4397 24.4673 0 0 0
"407" 101.5 57.1987 32.6421 24.3318 0 0 0
"408" 101.75 57.1502 32.8497 24.1957 0 0 0
"409" 102 57.0986 33.0623 24.0591 0 0 0
"410" 102.25 57.0438 33.2795 23.922 0 0 0
"411" 102.5 56.9861 33.5011 23.7844 0 0 0
"412" 102.75 56.9255 33.7269 23.6466 0 0 0
"413" 103 56.8623 33.9566 23.5084 0 0 0
"414" 103.25 56.7965 34.1899 23.3701 0 0 0
"415" 103.5 56.7283 34.4266 23.2315 0 0 0
"416" 103.75 56.6578 34.6665 23.0929 0 0 0
"417" 104 56.5851 34.9094 22.9543 0 0 0
"418" 104.25 56.5104 35.1549 22.8156 0 0 0
"419" 104.5 56.4338 35.403 22.6771 0 0 0
"420" 104.75 56.3553 35.6534 22.5386 0 0 0
"421" 105 56.2778 35.8914 22.4013 0 0 0
"422" 105.25 56.2137 36.094 22.2699 0 0 0
"423" 105.5 56.1662 36.2669 22.1453 0 0 0
"424" 105.75 56.1145 36.4159 22.0296 0 0 0
"425" 106 56.0391 36.5491 21.9328 0 0 0
"426" 106.25 55.9466 36.671 21.8606 0 0 0
"427" 106.5 55.8397 36.7832 21.8144 0 0 0
"428" 106.75 55.7196 36.8863 21.7947 0 0 0
"429" 107 55.5869 36.9808 21.801 0 0 0
"430" 107.25 55.4423 37.0669 21.8331 0 0 0
"431" 107.5 55.286 37.1446 21.8904 0 0 0
"432" 107.75 55.1185 37.2141 21.9728 0 0 0
"433" 108 54.9398 37.2755 22.0798 0 0 0
"434" 108.25 54.7504 37.3288 22.2113 0 0 0
"435" 108.5 54.5505 37.3741 22.3668 0 0 0
"436" 108.75 54.3402 37.4115 22.5464 0 0 0
"437" 109 54.1198 37.4409 22.7497 0 0 0
"438" 109.25 53.8895 37.4623 22.9767 0 0 0
"439" 109.5 53.6493 37.4758 23.2272 0 0 0
"440" 109.75 53.3996 37.4814 23.4997 0 0 0
"441" 110 53.1439 37.4817 23.7648 0 0 0
"442" 110.25 52.889 37.4817 24.0152 0 0 0
"443" 110.5 52.6376 37.4834 24.2539 0 0 0
"444" 110.75 52.3907 37.4876 24.4824 0 0 0
"445" 111 52.1484 37.4944 24.7017 0 0 0
"446" 111.25 51.9106 37.5038 24.9125 0 0 0
"447" 111.5 51.6769 37.5156 25.1156 0 0 0
"448" 111.75 51.4473 37.5296 25.3114 0 0 0
"449" 112 51.2214 37.5457 25.5006 0 0 0
"450" 112.25 50.9989 37.5637 25.6836 0 0 0
"451" 112.5 50.7796 37.5836 25.861 0 0 0
"452" 112.75 50.5634 37.605 26.0332 0 0 0
"453" 113 50.3499 37.6279 26.2005 0 0 0
"454" 113.25 50.139 37.6522 26.3634 0 0 0
"455" 113.5 49.9306 37.6777 26.5223 0 0 0
