"time" "N1" "N2" "N3" "N4" "N5" "R1" "R2" "R3" "R4" "R5"
"152" 1037.5 9.362 19.9768 29.1577 12.7253 48.4046 0.3402 0.1754 0.1012 0.224 0.2266
"153" 1037.75 9.4142 20.2852 28.8363 12.6587 48.4269 0.3501 0.1771 0.1008 0.2231 0.2208
"154" 1038 9.4649 20.6081 28.5144 12.5904 48.441 0.3598 0.1787 0.1005 0.2221 0.2145
"155" 1038.25 9.5148 20.9371 28.1935 12.5213 48.45 0.3695 0.1802 0.1003 0.2212 0.2081
"156" 1038.5 9.5644 21.2696 27.8745 12.4517 48.4557 0.3791 0.1817 0.1002 0.2202 0.2015
"157" 1038.75 9.6134 21.6058 27.5575 12.3817 48.458 0.3886 0.183 0.1 0.2192 0.1947
"158" 1039 9.6621 21.9455 27.2425 12.3113 48.457 0.398 0.1843 0.0999 0.2182 0.1878
"159" 1039.25 9.7102 22.2888 26.9294 12.2405 48.4526 0.4073 0.1855 0.0997 0.2171 0.1807
"160" 1039.5 9.7579 22.6356 26.6184 12.1694 48.4449 0.4164 0.1865 0.0996 0.2161 0.1735
"161" 1039.75 9.8051 22.986 26.3093 12.0978 48.4338 0.4254 0.1875 0.0994 0.2149 0.166
"162" 1040 9.8518 23.34 26.0023 12.0259 48.4193 0.4344 0.1883 0.0993 0.2138 0.1584
"163" 1040.25 9.898 23.6976 25.6973 11.9536 48.4015 0.4432 0.1891 0.0991 0.2126 0.1507
"164" 1040.5 9.9437 24.0586 25.3944 11.881 48.3802 0.4518 0.1897 0.099 0.2114 0.1428
"165" 1040.75 9.9889 24.4232 25.0935 11.8081 48.3556 0.4604 0.1903 0.0988 0.2101 0.1347
"166" 1041 10.036 24.7571 24.7995 11.7373 48.3355 0.4694 0.192 0.1 0.2093 0.1283
"167" 1041.25 10.0877 25.0462 24.5424 11.6842 48.2725 0.4784 0.1957 0.1058 0.2093 0.1248
"168" 1041.5 10.128 25.3047 24.3544 11.6656 48.1522 0.4852 0.1983 0.1134 0.2093 0.1216
"169" 1041.75 10.1551 25.5304 24.2439 11.6864 47.9734 0.4891 0.1992 0.1222 0.2092 0.1182
"170" 1042 10.1677 25.7192 24.2174 11.7506 47.7318 0.49 0.198 0.132 0.209 0.1145
"171" 1042.25 10.1648 25.8672 24.2817 11.8625 47.4235 0.4876 0.1948 0.1431 0.2087 0.1107
"172" 1042.5 10.1449 25.9701 24.4435 12.0262 47.0443 0.4815 0.1892 0.1553 0.2082 0.1066
"173" 1042.75 10.1067 26.0232 24.7101 12.2465 46.5899 0.4716 0.181 0.1688 0.2076 0.1022
"174" 1043 10.0506 26.0263 25.0763 12.5038 46.0629 0.4589 0.1723 0.1855 0.2074 0.0991
"175" 1043.25 9.9885 26.012 25.4552 12.7587 45.5155 0.4471 0.1664 0.2064 0.2083 0.0987
"176" 1043.5 9.9254 25.9938 25.8352 13.0165 44.9687 0.4354 0.1605 0.2273 0.2093 0.0984
"177" 1043.75 9.8614 25.9718 26.2167 13.2772 44.4229 0.4235 0.1545 0.2481 0.2103 0.0981
