"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12" "R1" "R2" "R3" "R4" "R5"
"140" 34.75 0.0309 0.2301 0.2317 0.3957 0.3157 0.0329 4.3444 0.0631 18.2434 29.7836 0.0861 0.2024 0.0425 3.8368 5.0975 2.192 3.416
"141" 35 0.0297 0.2231 0.225 0.3865 0.3081 0.0316 4.2905 0.0606 18.2517 29.8317 0.0829 0.1963 0.0425 3.8481 5.1033 2.196 3.4263
"142" 35.25 0.0286 0.2163 0.2185 0.3775 0.3007 0.0303 4.2372 0.0583 18.2594 29.8789 0.0799 0.1905 0.0425 3.8594 5.1091 2.1999 3.4366
"143" 35.5 0.0275 0.2097 0.2121 0.3687 0.2934 0.0291 4.1845 0.056 18.2666 29.9253 0.077 0.1849 0.0424 3.8705 5.1147 2.2038 3.4467
"144" 35.75 0.0264 0.2033 0.206 0.3601 0.2863 0.0279 4.1324 0.0538 18.2734 29.971 0.0741 0.1794 0.0424 3.8816 5.1204 2.2076 3.4567
"145" 36 0.0254 0.1971 0.2 0.3516 0.2794 0.0268 4.0808 0.0517 18.2796 30.0159 0.0714 0.174 0.0424 3.8926 5.1259 2.2113 3.4667
"146" 36.25 0.0245 0.1911 0.1942 0.3434 0.2727 0.0258 4.0297 0.0497 18.2854 30.0601 0.0688 0.1689 0.0424 3.9035 5.1314 2.215 3.4765
"147" 36.5 0.0235 0.1853 0.1885 0.3354 0.2661 0.0247 3.9792 0.0477 18.2907 30.1035 0.0662 0.1638 0.0424 3.9143 5.1369 2.2186 3.4863
"148" 36.75 0.0226 0.1796 0.183 0.3275 0.2596 0.0238 3.9293 0.0459 18.2955 30.1462 0.0638 0.159 0.0423 3.925 5.1423 2.2222 3.496
"149" 37 0.0218 0.1741 0.1777 0.3198 0.2534 0.0228 3.8799 0.0441 18.2999 30.1882 0.0614 0.1542 0.0423 3.9356 5.1476 2.2258 3.5055
"150" 37.25 0.0209 0.1688 0.1725 0.3123 0.2472 0.0219 3.831 0.0423 18.3039 30.2295 0.0592 0.1496 0.0423 3.9462 5.1529 2.2293 3.515
"151" 37.5 0.0201 0.1636 0.1675 0.305 0.2412 0.021 3.7827 0.0407 18.3074 30.2701 0.057 0.1452 0.0423 3.9566 5.1581 2.2327 3.5244
